Open Time,Order,Symbol,Type,Volume,,Price,S / L,T / P,Time,,State,Comment,
2018.03.01 09:00:00,91,EURUSD,buy,0.01 / 0.01,, 1.22055,,,2018.03.01 09:00:00,,filled,,
2018.03.01 11:00:00,92,EURUSD,sell,0.09 / 0.09,, 1.21972,,,2018.03.01 11:00:00,,filled,,
2018.03.01 19:00:00,93,EURUSD,buy,0.09 / 0.09,, 1.22154,,,2018.03.01 19:00:00,,filled,,
2018.03.05 08:00:00,94,EURUSD,sell,0.08 / 0.08,, 1.23189,,,2018.03.05 08:00:00,,filled,,
2018.03.05 17:00:00,95,EURUSD,buy,0.08 / 0.08,, 1.23232,,,2018.03.05 17:00:00,,filled,,
2018.03.06 10:00:00,96,EURUSD,sell,0.01 / 0.01,, 1.23334,,,2018.03.06 10:00:00,,filled,,
2018.03.06 11:00:00,97,EURUSD,buy,0.01 / 0.01,, 1.23389,,,2018.03.06 11:00:00,,filled,,
2018.03.06 12:00:00,98,EURUSD,buy,0.01 / 0.01,, 1.23442,,,2018.03.06 12:00:00,,filled,,
2018.03.07 10:00:00,99,EURUSD,sell,0.01 / 0.01,, 1.24090,,,2018.03.07 10:00:00,,filled,,
2018.03.07 12:00:00,100,EURUSD,buy,0.08 / 0.08,, 1.24232,,,2018.03.07 12:00:00,,filled,,
2018.03.07 14:00:00,101,EURUSD,sell,0.08 / 0.08,, 1.24075,,,2018.03.07 14:00:00,,filled,,
2018.03.07 15:00:00,102,EURUSD,buy,0.08 / 0.08,, 1.24182,,,2018.03.07 15:00:00,,filled,,
2018.03.07 16:00:00,103,EURUSD,sell,0.08 / 0.08,, 1.24148,,,2018.03.07 16:00:00,,filled,,
2018.03.08 02:00:00,104,EURUSD,buy,0.01 / 0.01,, 1.24124,,,2018.03.08 02:00:00,,filled,,
2018.03.08 03:00:00,105,EURUSD,sell,0.01 / 0.01,, 1.24077,,,2018.03.08 03:00:00,,filled,,
2018.03.08 10:00:00,106,EURUSD,buy,0.01 / 0.01,, 1.24117,,,2018.03.08 10:00:00,,filled,,
2018.03.08 11:00:00,107,EURUSD,sell,0.01 / 0.01,, 1.23928,,,2018.03.08 11:00:00,,filled,,
2018.03.08 15:00:00,108,EURUSD,buy,0.01 / 0.01,, 1.24098,,,2018.03.08 15:00:00,,filled,,
2018.03.08 16:00:00,109,EURUSD,sell,0.01 / 0.01,, 1.24027,,,2018.03.08 16:00:00,,filled,,
2018.03.09 11:00:00,110,EURUSD,sell,0.01 / 0.01,, 1.23062,,,2018.03.09 11:00:00,,filled,,
2018.03.09 17:00:00,111,EURUSD,buy,0.01 / 0.01,, 1.23127,,,2018.03.09 17:00:00,,filled,,
2018.03.09 23:00:00,112,EURUSD,sell,0.01 / 0.01,, 1.23065,,,2018.03.09 23:00:00,,filled,,
2018.03.12 17:00:00,113,EURUSD,buy,0.01 / 0.01,, 1.23215,,,2018.03.12 17:00:00,,filled,,
2018.03.12 18:00:00,114,EURUSD,sell,0.01 / 0.01,, 1.23178,,,2018.03.12 18:00:00,,filled,,
2018.03.12 19:00:00,115,EURUSD,buy,0.01 / 0.01,, 1.23193,,,2018.03.12 19:00:00,,filled,,
2018.03.13 14:00:00,116,EURUSD,buy,0.01 / 0.01,, 1.23368,,,2018.03.13 14:00:00,,filled,,
2018.03.14 10:00:00,117,EURUSD,sell,0.01 / 0.01,, 1.23889,,,2018.03.14 10:00:00,,filled,,
2018.03.15 02:00:00,118,EURUSD,buy,0.08 / 0.08,, 1.23751,,,2018.03.15 02:00:00,,filled,,
2018.03.15 09:00:00,119,EURUSD,sell,0.08 / 0.08,, 1.23659,,,2018.03.15 09:00:00,,filled,,
2018.03.16 09:00:00,120,EURUSD,buy,0.08 / 0.08,, 1.23182,,,2018.03.16 09:00:00,,filled,,
2018.03.20 12:00:00,121,EURUSD,sell,0.08 / 0.08,, 1.23164,,,2018.03.20 12:00:00,,filled,,
2018.03.21 06:00:00,122,EURUSD,buy,0.01 / 0.01,, 1.22633,,,2018.03.21 06:00:00,,filled,,
2018.03.22 12:00:00,123,EURUSD,sell,0.01 / 0.01,, 1.23341,,,2018.03.22 12:00:00,,filled,,
2018.03.23 02:00:00,124,EURUSD,buy,0.08 / 0.08,, 1.23243,,,2018.03.23 02:00:00,,filled,,
2018.03.27 12:00:00,125,EURUSD,sell,0.08 / 0.08,, 1.24301,,,2018.03.27 12:00:00,,filled,,
