Open Time,Order,Symbol,Type,Volume,,Price,S / L,T / P,Time,,State,Comment,
2018.07.10 19:28:40,70,EURUSD,buy,0.10 / 0.10,, 1.17376,, 1.17875,2018.07.10 19:28:40,,filled,,
2018.07.16 19:28:40,71,EURUSD,sell,0.10 / 0.10,, 1.17061,,,2018.07.16 19:28:40,,filled,,
2018.07.17 14:15:20,72,EURUSD,sell,0.10 / 0.10,, 1.17126,, 1.16627,2018.07.17 14:15:20,,filled,,
2018.07.17 18:59:40,73,EURUSD,buy,0.10 / 0.10,, 1.16627,,,2018.07.17 18:59:40,,filled,tp 1.16627,
2018.07.19 20:02:40,74,EURUSD,buy,0.10 / 0.10,, 1.16346,, 1.16845,2018.07.19 20:02:40,,filled,,
2018.07.19 20:49:40,75,EURUSD,sell,0.10 / 0.10,, 1.16485,,,2018.07.19 20:49:40,,filled,sl 1.16485,
2018.07.19 20:49:40,76,EURUSD,buy,0.10 / 0.10,, 1.16469,, 1.16968,2018.07.19 20:49:40,,filled,,
2018.07.20 11:00:00,77,EURUSD,sell,0.10 / 0.10,, 1.16408,,,2018.07.20 11:00:00,,filled,,
2018.07.20 11:00:40,78,EURUSD,sell,0.10 / 0.10,, 1.16400,, 1.15902,2018.07.20 11:00:40,,filled,,
2018.07.24 05:00:40,79,EURUSD,buy,0.10 / 0.10,, 1.17008,,,2018.07.24 05:00:40,,filled,,
2018.07.24 05:01:59,80,EURUSD,buy,0.10 / 0.10,, 1.17008,, 1.17500,2018.07.24 05:01:59,,filled,,
2018.07.26 09:07:40,81,EURUSD,sell,0.10 / 0.10,, 1.17260,,,2018.07.26 09:07:40,,filled,,
2018.07.31 16:10:40,82,EURUSD,sell,0.10 / 0.10,, 1.17077,, 1.16585,2018.07.31 16:10:40,,filled,,
2018.08.01 11:00:40,83,EURUSD,buy,0.10 / 0.10,, 1.16887,,,2018.08.01 11:00:40,,filled,,
2018.08.06 18:26:40,84,EURUSD,buy,0.10 / 0.10,, 1.15667,, 1.16159,2018.08.06 18:26:40,,filled,,
2018.08.07 20:59:40,85,EURUSD,sell,0.10 / 0.10,, 1.15830,,,2018.08.07 20:59:40,,filled,,
2018.08.08 11:04:40,86,EURUSD,sell,0.10 / 0.10,, 1.15982,, 1.15490,2018.08.08 11:04:40,,filled,,
2018.08.09 21:55:40,87,EURUSD,buy,0.10 / 0.10,, 1.15490,,,2018.08.09 21:55:40,,filled,tp 1.15490,
2018.08.15 18:09:40,88,EURUSD,buy,0.10 / 0.10,, 1.13426,, 1.13918,2018.08.15 18:09:40,,filled,,
2018.08.16 08:29:40,89,EURUSD,sell,0.10 / 0.10,, 1.13918,,,2018.08.16 08:29:40,,filled,tp 1.13918,
2018.08.16 19:43:40,90,EURUSD,sell,0.10 / 0.10,, 1.13662,, 1.13170,2018.08.16 19:43:40,,filled,,
2018.08.24 05:00:00,91,EURUSD,buy,0.10 / 0.10,, 1.15455,,,2018.08.24 05:00:00,,filled,,
2018.08.24 05:50:40,92,EURUSD,buy,0.10 / 0.10,, 1.15596,, 1.16088,2018.08.24 05:50:40,,filled,,
2018.08.24 17:01:40,93,EURUSD,sell,0.10 / 0.10,, 1.16088,,,2018.08.24 17:01:40,,filled,tp 1.16088,
2018.08.29 17:00:00,94,EURUSD,buy,0.10 / 0.10,, 1.16898,, 1.17390,2018.08.29 17:00:00,,filled,,
2018.08.30 06:00:00,95,EURUSD,sell,0.10 / 0.10,, 1.17006,,,2018.08.30 06:00:00,,filled,,
2018.09.04 19:48:40,96,EURUSD,buy,0.10 / 0.10,, 1.15853,, 1.16345,2018.09.04 19:48:40,,filled,,
2018.09.05 16:17:40,97,EURUSD,sell,0.10 / 0.10,, 1.16345,,,2018.09.05 16:17:40,,filled,tp 1.16345,
2018.09.11 13:03:40,98,EURUSD,sell,0.10 / 0.10,, 1.15925,, 1.15433,2018.09.11 13:03:40,,filled,,
2018.09.17 06:00:00,99,EURUSD,buy,0.10 / 0.10,, 1.16356,,,2018.09.17 06:00:00,,filled,,
