,date_time,currency,impact,name,actual,forecast,previous
2869,2010-07-22 03:30:00,GBP,High Impact Expected,Retail Sales m/m,0.7,0.5,0.8
2870,2010-07-22 07:30:00,CAD,High Impact Expected,Core Retail Sales m/m,-0.1,0.5,-1.4
2871,2010-07-22 07:30:00,USD,High Impact Expected,Unemployment Claims,464.0,449.0,427.0
2872,2010-07-22 08:30:00,USD,High Impact Expected,Fed Chairman Bernanke Testifies,0.0,0.0,0.0
2873,2010-07-22 09:00:00,USD,High Impact Expected,Existing Home Sales,5.37,5.18,5.66
2874,2010-07-22 09:30:00,CAD,High Impact Expected,BOC Monetary Policy Report,0.0,0.0,0.0
2875,2010-07-22 10:30:00,CAD,High Impact Expected,BOC Press Conference,0.0,0.0,0.0
2876,2010-07-23 03:00:00,EUR,High Impact Expected,German Ifo Business Climate,106.2,101.5,101.8
2877,2010-07-23 03:30:00,GBP,High Impact Expected,Prelim GDP q/q,1.1,0.6,0.3
2878,2010-07-23 06:00:00,CAD,High Impact Expected,Core CPI m/m,-0.1,0.1,0.3
2879,2010-07-23 11:00:00,EUR,High Impact Expected,EBA Bank Stress Test Results,0.0,0.0,0.0
2880,2010-07-25 20:30:00,AUD,High Impact Expected,PPI q/q,0.3,1.2,1.0
2881,2010-07-26 09:00:00,USD,High Impact Expected,New Home Sales,330.0,317.0,267.0
2882,2010-07-27 09:00:00,USD,High Impact Expected,CB Consumer Confidence,50.4,51.3,54.3
2883,2010-07-27 20:30:00,AUD,High Impact Expected,CPI q/q,0.6,1.0,0.9
2884,2010-07-27 22:00:00,NZD,High Impact Expected,ANZ Business Confidence,27.9,0.0,40.2
2885,2010-07-28 03:45:00,GBP,High Impact Expected,BOE Gov King Speaks,0.0,0.0,0.0
2886,2010-07-28 07:30:00,USD,High Impact Expected,Core Durable Goods Orders m/m,-0.6,0.6,1.2
2887,2010-07-28 16:00:00,NZD,High Impact Expected,Official Cash Rate,3.0,3.0,2.75
2888,2010-07-28 16:00:00,NZD,High Impact Expected,RBNZ Rate Statement,0.0,0.0,0.0
2889,2010-07-29 01:00:00,GBP,High Impact Expected,Nationwide HPI m/m,-0.5,-0.2,0.0
2890,2010-07-29 07:30:00,USD,High Impact Expected,Unemployment Claims,457.0,457.0,468.0
2891,2010-07-30 04:30:00,CHF,High Impact Expected,KOF Economic Barometer,2.23,2.32,2.23
2892,2010-07-30 07:30:00,CAD,High Impact Expected,GDP m/m,0.1,0.1,0.0
2893,2010-07-30 07:30:00,USD,High Impact Expected,Advance GDP q/q,2.4,2.5,2.7
2894,2010-07-31 20:00:00,CNY,High Impact Expected,Manufacturing PMI,51.2,51.5,52.1
2895,2010-08-02 02:15:00,CHF,High Impact Expected,Retail Sales y/y,0.9,4.1,3.9
2896,2010-08-02 03:30:00,GBP,High Impact Expected,Manufacturing PMI,57.3,57.1,57.6
2897,2010-08-02 09:00:00,USD,High Impact Expected,ISM Manufacturing PMI,55.5,54.2,56.2
2898,2010-08-02 09:15:00,USD,High Impact Expected,Fed Chairman Bernanke Speaks,0.0,0.0,0.0
2899,2010-08-02 17:45:00,NZD,High Impact Expected,Labor Cost Index q/q,0.4,0.4,0.3
2900,2010-08-02 20:30:00,AUD,High Impact Expected,Building Approvals m/m,-3.3,2.1,-6.4
2901,2010-08-02 20:30:00,AUD,High Impact Expected,Retail Sales m/m,0.2,0.4,0.2
2902,2010-08-02 23:30:00,AUD,High Impact Expected,Cash Rate,4.5,4.5,4.5
2903,2010-08-02 23:30:00,AUD,High Impact Expected,RBA Rate Statement,0.0,0.0,0.0
2904,2010-08-03 09:00:00,USD,High Impact Expected,Pending Home Sales m/m,-2.6,0.5,-29.9
2905,2010-08-03 20:30:00,AUD,High Impact Expected,Trade Balance,3.54,1.81,1.83
2906,2010-08-04 01:00:00,GBP,High Impact Expected,Halifax HPI m/m,0.6,-0.4,-0.6
2907,2010-08-04 03:30:00,GBP,High Impact Expected,Services PMI,53.1,54.5,54.4
2908,2010-08-04 07:15:00,USD,High Impact Expected,ADP Non-Farm Employment Change,42.0,38.0,19.0
